"row_key","row_index","label","start","end","duration","color_rgba"
"Traveller_001","0","Travelling","90.8265","144.2481","53.4216","3498dbff"
"Traveller_002","1","Travelling","107.4931","132.5814","25.0883","3498dbff"
"Traveller_003","2","Travelling","125.9147","140.9147","15.0","3498dbff"
"Traveller_002","1","Waiting","132.5814","132.5814","0.0","2ecc71ff"
"Traveller_002","1","Attraction","132.5814","432.6948","300.1134","f39c12ff"
"Traveller_003","2","Waiting","140.9147","140.9147","0.0","2ecc71ff"
"Traveller_003","2","Attraction3","140.9147","261.0282","120.1134","f39c12ff"
"Traveller_001","0","Waiting","144.2481","144.2481","0.0","2ecc71ff"
"Traveller_001","0","Attraction3","144.2481","264.3615","120.1134","f39c12ff"
"Traveller_004","3","Travelling","145.9147","199.2481","53.3333","3498dbff"
"Traveller_005","4","Travelling","160.9147","192.5814","31.6667","3498dbff"
"Traveller_006","5","Travelling","175.9147","229.3615","53.4468","3498dbff"
"Traveller_007","6","Travelling","190.9147","216.0282","25.1134","3498dbff"
"Traveller_005","4","Waiting","192.5814","192.5814","0.0","2ecc71ff"
"Traveller_005","4","Attraction2","192.5814","312.6948","120.1134","f39c12ff"
"Traveller_004","3","Waiting","199.2481","261.0282","61.7801","2ecc71ff"
"Traveller_008","7","Travelling","204.2481","236.0282","31.7801","3498dbff"
"Traveller_007","6","Waiting","216.0282","216.0282","0.0","2ecc71ff"
"Traveller_007","6","Attraction","216.0282","516.0282","300.0","f39c12ff"
"Traveller_009","8","Travelling","217.6948","276.0282","58.3333","3498dbff"
"Traveller_006","5","Waiting","229.3615","264.3615","35.0","2ecc71ff"
"Traveller_010","9","Travelling","231.0282","289.3615","58.3333","3498dbff"
"Traveller_008","7","Waiting","236.0282","236.0282","0.0","2ecc71ff"
"Traveller_008","7","Attraction2","236.0282","356.0282","120.0","f39c12ff"
"Traveller_011","10","Travelling","246.0282","261.0282","15.0","3498dbff"
"Traveller_012","11","Travelling","261.0282","292.6948","31.6667","3498dbff"
"Traveller_011","10","Waiting","261.0282","381.0282","120.0","2ecc71ff"
"Traveller_003","2","Travelling","261.0282","281.0282","20.0","3498dbff"
"Traveller_004","3","Attraction3","261.0282","381.0282","120.0","f39c12ff"
"Traveller_001","0","Travelling","264.3615","282.6948","18.3333","3498dbff"
"Traveller_006","5","Attraction3","264.3615","384.3615","120.0","f39c12ff"
"Traveller_013","12","Travelling","274.3615","327.6948","53.3333","3498dbff"
"Traveller_009","8","Waiting","276.0282","312.6948","36.6667","2ecc71ff"
"Traveller_003","2","Waiting","281.0282","356.0282","75.0","2ecc71ff"
"Traveller_001","0","Waiting","282.6948","432.6948","150.0","2ecc71ff"
"Traveller_014","13","Travelling","289.3615","339.3615","50.0","3498dbff"
"Traveller_010","9","Waiting","289.3615","476.0282","186.6667","2ecc71ff"
"Traveller_012","11","Waiting","292.6948","552.6948","260.0","2ecc71ff"
"Traveller_015","14","Travelling","302.6948","317.6948","15.0","3498dbff"
"Traveller_005","4","Travelling","312.6948","329.3615","16.6667","3498dbff"
"Traveller_009","8","Attraction2","312.6948","432.6948","120.0","f39c12ff"
"Traveller_016","15","Travelling","316.0282","347.6948","31.6667","3498dbff"
"Traveller_015","14","Waiting","317.6948","384.3615","66.6667","2ecc71ff"
"Traveller_013","12","Waiting","327.6948","501.0282","173.3333","2ecc71ff"
"Traveller_017","16","Travelling","329.3615","379.3615","50.0","3498dbff"
"Traveller_005","4","Waiting","329.3615","504.3615","175.0","2ecc71ff"
"Traveller_014","13","Waiting","339.3615","432.6948","93.3333","2ecc71ff"
"Traveller_018","17","Travelling","344.3615","359.3615","15.0","3498dbff"
"Traveller_016","15","Waiting","347.6948","597.6948","250.0","2ecc71ff"
"Traveller_008","7","Travelling","356.0282","372.6948","16.6667","3498dbff"
"Traveller_003","2","Attraction2","356.0282","476.0282","120.0","f39c12ff"
"Traveller_019","18","Travelling","357.6948","382.6948","25.0","3498dbff"
"Traveller_018","17","Waiting","359.3615","622.6948","263.3333","2ecc71ff"
"Traveller_008","7","Waiting","372.6948","626.0282","253.3333","2ecc71ff"
"Traveller_017","16","Waiting","379.3615","516.0282","136.6667","2ecc71ff"
"Traveller_004","3","Travelling","381.0282","399.3615","18.3333","3498dbff"
"Traveller_011","10","Attraction3","381.0282","501.0282","120.0","f39c12ff"
"Traveller_019","18","Waiting","382.6948","734.3615","351.6667","2ecc71ff"
"Traveller_006","5","Travelling","384.3615","402.6948","18.3333","3498dbff"
"Traveller_015","14","Attraction3","384.3615","504.3615","120.0","f39c12ff"
"Traveller_004","3","Waiting","399.3615","674.3615","275.0","2ecc71ff"
"Traveller_006","5","Waiting","402.6948","719.3615","316.6667","2ecc71ff"
"Traveller_002","1","Travelling","432.6948","461.0282","28.3333","3498dbff"
"Traveller_009","8","Travelling","432.6948","452.6948","20.0","3498dbff"
"Traveller_014","13","Attraction","432.6948","734.3615","301.6667","f39c12ff"
"Traveller_001","0","Attraction2","432.6948","552.6948","120.0","f39c12ff"
"Traveller_009","8","Waiting","452.6948","744.3615","291.6667","2ecc71ff"
"Traveller_002","1","Waiting","461.0282","796.0282","335.0","2ecc71ff"
"Traveller_003","2","Travelling","476.0282","492.6948","16.6667","3498dbff"
"Traveller_010","9","Attraction2","476.0282","597.6948","121.6667","f39c12ff"
"Traveller_003","2","Waiting","492.6948","747.6948","255.0","2ecc71ff"
"Traveller_011","10","Travelling","501.0282","521.0282","20.0","3498dbff"
