"row_key","row_index","label","start","end","duration","color_rgba"
"Traveller_001","0","Travelling","120.5923","152.2502","31.6579","3498dbff"
"Traveller_002","1","Travelling","135.5835","185.5835","50.0","3498dbff"
"Traveller_005","2","Travelling","185.5835","195.5835","10.0","3498dbff"
"Traveller_003","3","Travelling","153.9168","203.9168","50.0","3498dbff"
"Traveller_004","4","Travelling","168.9168","218.9168","50.0","3498dbff"
"Traveller_007","5","Travelling","220.5835","252.2502","31.6667","3498dbff"
"Traveller_006","6","Travelling","202.2502","263.9168","61.6667","3498dbff"
"Traveller_001","0","Attraction2","152.2502","273.9168","121.6667","f39c12ff"
"Traveller_001","0","Attraction2","152.2502","273.9168","121.6667","f39c12ff"
"Traveller_001","0","Waiting","252.2502","273.9168","21.6667","2ecc71ff"
"Traveller_007","5","Waiting","252.2502","273.9168","21.6667","2ecc71ff"
"Traveller_008","7","Travelling","240.5835","290.5835","50.0","3498dbff"
"Traveller_001","0","Travelling","273.9168","297.2502","23.3333","3498dbff"
"Traveller_009","8","Travelling","257.2502","298.9168","41.6667","3498dbff"
"Traveller_001","0","Attraction3","185.5835","305.5835","120.0","f39c12ff"
"Traveller_002","1","Attraction3","185.5835","305.5835","120.0","f39c12ff"
"Traveller_001","0","Waiting","195.5835","305.5835","110.0","2ecc71ff"
"Traveller_005","2","Waiting","195.5835","305.5835","110.0","2ecc71ff"
"Traveller_010","9","Travelling","273.9168","323.9168","50.0","3498dbff"
"Traveller_002","1","Travelling","305.5835","325.5835","20.0","3498dbff"
"Traveller_011","10","Travelling","292.2502","353.9168","61.6667","3498dbff"
"Traveller_001","0","Attraction2","273.9168","393.9168","120.0","f39c12ff"
"Traveller_007","5","Attraction2","273.9168","393.9168","120.0","f39c12ff"
"Traveller_001","0","Waiting","263.9168","393.9168","130.0","2ecc71ff"
"Traveller_006","6","Waiting","263.9168","393.9168","130.0","2ecc71ff"
"Traveller_007","5","Travelling","393.9168","412.2502","18.3333","3498dbff"
"Traveller_001","0","Attraction3","305.5835","425.5835","120.0","f39c12ff"
"Traveller_005","2","Attraction3","305.5835","425.5835","120.0","f39c12ff"
"Traveller_001","0","Waiting","203.9168","425.5835","221.6667","2ecc71ff"
"Traveller_003","3","Waiting","203.9168","425.5835","221.6667","2ecc71ff"
"Traveller_005","2","Travelling","425.5835","447.2502","21.6667","3498dbff"
"Traveller_001","0","Attraction2","393.9168","513.9168","120.0","f39c12ff"
"Traveller_006","6","Attraction2","393.9168","513.9168","120.0","f39c12ff"
"Traveller_001","0","Waiting","325.5835","513.9168","188.3333","2ecc71ff"
"Traveller_002","1","Waiting","325.5835","513.9168","188.3333","2ecc71ff"
"Traveller_006","6","Travelling","513.9168","533.9168","20.0","3498dbff"
"Traveller_001","0","Attraction3","425.5835","545.5835","120.0","f39c12ff"
"Traveller_003","3","Attraction3","425.5835","545.5835","120.0","f39c12ff"
"Traveller_001","0","Waiting","218.9168","545.5835","326.6667","2ecc71ff"
"Traveller_004","4","Waiting","218.9168","545.5835","326.6667","2ecc71ff"
"Traveller_003","3","Travelling","545.5835","580.5831","34.9996","3498dbff"
"Traveller_001","0","Attraction","297.2502","598.9164","301.6663","f39c12ff"
"Traveller_001","0","Attraction","297.2502","598.9164","301.6663","f39c12ff"
"Traveller_001","0","Waiting","298.9168","598.9164","299.9996","2ecc71ff"
"Traveller_009","8","Waiting","298.9168","598.9164","299.9996","2ecc71ff"
"Traveller_001","0","Travelling","598.9164","623.9164","25.0","3498dbff"
"Traveller_001","0","Attraction2","513.9168","635.5831","121.6663","f39c12ff"
"Traveller_002","1","Attraction2","513.9168","635.5831","121.6663","f39c12ff"
"Traveller_001","0","Waiting","353.9168","635.5831","281.6663","2ecc71ff"
"Traveller_011","10","Waiting","353.9168","635.5831","281.6663","2ecc71ff"
"Traveller_002","1","Travelling","635.5831","658.9164","23.3333","3498dbff"
"Traveller_001","0","Attraction3","545.5835","667.2498","121.6663","f39c12ff"
"Traveller_004","4","Attraction3","545.5835","667.2498","121.6663","f39c12ff"
"Traveller_001","0","Waiting","290.5835","667.2498","376.6663","2ecc71ff"
"Traveller_008","7","Waiting","290.5835","667.2498","376.6663","2ecc71ff"
"Traveller_004","4","Travelling","667.2498","687.2498","20.0","3498dbff"
"Traveller_001","0","Attraction2","635.5831","757.2478","121.6647","f39c12ff"
"Traveller_011","10","Attraction2","635.5831","757.2478","121.6647","f39c12ff"
"Traveller_001","0","Waiting","447.2502","757.2478","309.9976","2ecc71ff"
"Traveller_005","2","Waiting","447.2502","757.2478","309.9976","2ecc71ff"
"Traveller_011","10","Travelling","757.2478","777.2478","20.0","3498dbff"
"Traveller_001","0","Attraction3","667.2498","788.9144","121.6647","f39c12ff"
"Traveller_008","7","Attraction3","667.2498","788.9144","121.6647","f39c12ff"
"Traveller_001","0","Waiting","323.9168","788.9144","464.9976","2ecc71ff"
"Traveller_010","9","Waiting","323.9168","788.9144","464.9976","2ecc71ff"
"Traveller_008","7","Travelling","788.9144","823.9144","35.0","3498dbff"
"Traveller_001","0","Attraction2","757.2478","878.9144","121.6667","f39c12ff"
"Traveller_005","2","Attraction2","757.2478","878.9144","121.6667","f39c12ff"
"Traveller_001","0","Waiting","623.9164","878.9144","254.998","2ecc71ff"
"Traveller_001","0","Waiting","623.9164","878.9144","254.998","2ecc71ff"
"Traveller_005","2","Travelling","878.9144","897.2478","18.3333","3498dbff"
"Traveller_001","0","Attraction","598.9164","900.5811","301.6647","f39c12ff"
"Traveller_009","8","Attraction","598.9164","900.5811","301.6647","f39c12ff"
"Traveller_001","0","Waiting","580.5831","900.5811","319.998","2ecc71ff"
"Traveller_003","3","Waiting","580.5831","900.5811","319.998","2ecc71ff"
"Traveller_001","0","Attraction3","788.9144","910.5811","121.6667","f39c12ff"
"Traveller_010","9","Attraction3","788.9144","910.5811","121.6667","f39c12ff"
"Traveller_001","0","Waiting","412.2502","910.5811","498.3309","2ecc71ff"
"Traveller_007","5","Waiting","412.2502","910.5811","498.3309","2ecc71ff"
"Traveller_009","8","Travelling","900.5811","927.2478","26.6667","3498dbff"
"Traveller_010","9","Travelling","910.5811","945.5811","35.0","3498dbff"
"Traveller_001","0","Attraction2","878.9144","1000.5811","121.6667","f39c12ff"
"Traveller_001","0","Attraction2","878.9144","1000.5811","121.6667","f39c12ff"
"Traveller_001","0","Waiting","687.2498","1000.5811","313.3313","2ecc71ff"
"Traveller_004","4","Waiting","687.2498","1000.5811","313.3313","2ecc71ff"
"Traveller_001","0","Travelling","1000.5811","1020.5811","20.0","3498dbff"
"Traveller_001","0","Attraction3","910.5811","1032.2478","121.6667","f39c12ff"
"Traveller_007","5","Attraction3","910.5811","1032.2478","121.6667","f39c12ff"
"Traveller_001","0","Waiting","533.9168","1032.2478","498.3309","2ecc71ff"
"Traveller_006","6","Waiting","533.9168","1032.2478","498.3309","2ecc71ff"
"Traveller_012","11","Travelling","1000.5811","1062.2478","61.6667","3498dbff"
"Traveller_007","5","Travelling","1032.2478","1068.9144","36.6667","3498dbff"
"Traveller_001","0","Attraction2","1000.5811","1120.5811","120.0","f39c12ff"
