"row_key","row_index","label","start","end","duration","color_rgba"
"Traveller_001","0","Travelling","297.139","350.4723","53.3333","3498dbff"
"Traveller_002","1","Travelling","310.4723","360.4723","50.0","3498dbff"
"Traveller_003","2","Travelling","325.4723","340.4723","15.0","3498dbff"
"Traveller_004","3","Travelling","340.4723","1812.1333","1471.661","3498dbff"
"Traveller_003","2","Waiting","340.4723","340.4723","0.0","2ecc71ff"
"Traveller_003","2","Attraction3","340.4723","460.4723","120.0","f39c12ff"
"Traveller_001","0","Waiting","350.4723","460.4723","110.0","2ecc71ff"
"Traveller_005","4","Travelling","355.4723","370.4723","15.0","3498dbff"
"Traveller_002","1","Waiting","360.4723","360.4723","0.0","2ecc71ff"
"Traveller_002","1","Attraction","360.4723","662.139","301.6667","f39c12ff"
"Traveller_006","5","Travelling","370.4723","1812.1333","1441.661","3498dbff"
"Traveller_005","4","Waiting","370.4723","582.139","211.6667","2ecc71ff"
"Traveller_007","6","Travelling","385.4723","400.4723","15.0","3498dbff"
"Traveller_008","7","Travelling","400.4723","450.4723","50.0","3498dbff"
"Traveller_007","6","Waiting","400.4723","703.8056","303.3333","2ecc71ff"
"Traveller_009","8","Travelling","415.4723","1812.1333","1396.661","3498dbff"
"Traveller_010","9","Travelling","430.4723","445.4723","15.0","3498dbff"
"Traveller_011","10","Travelling","445.4723","460.4723","15.0","3498dbff"
"Traveller_010","9","Waiting","445.4723","825.4694","379.9971","2ecc71ff"
"Traveller_008","7","Waiting","450.4723","662.139","211.6667","2ecc71ff"
"Traveller_011","10","Waiting","460.4723","947.1333","486.661","2ecc71ff"
"Traveller_003","2","Travelling","460.4723","1812.1333","1351.661","3498dbff"
"Traveller_003","2","Travelling","460.4723","482.139","21.6667","3498dbff"
"Traveller_001","0","Attraction3","460.4723","582.139","121.6667","f39c12ff"
"Traveller_012","11","Travelling","462.139","512.139","50.0","3498dbff"
"Traveller_013","12","Travelling","478.8056","528.8056","50.0","3498dbff"
"Traveller_003","2","Waiting","482.139","482.139","0.0","2ecc71ff"
"Traveller_003","2","Attraction2","482.139","603.8056","121.6667","f39c12ff"
"Traveller_014","13","Travelling","493.8056","530.4723","36.6667","3498dbff"
"Traveller_015","14","Travelling","512.139","527.139","15.0","3498dbff"
"Traveller_012","11","Waiting","512.139","963.8","451.661","2ecc71ff"
"Traveller_016","15","Travelling","527.139","542.139","15.0","3498dbff"
"Traveller_015","14","Waiting","527.139","1067.1333","539.9944","2ecc71ff"
"Traveller_013","12","Waiting","528.8056","1263.8","734.9944","2ecc71ff"
"Traveller_014","13","Waiting","530.4723","603.8056","73.3333","2ecc71ff"
"Traveller_016","15","Waiting","542.139","1187.1333","644.9944","2ecc71ff"
"Traveller_017","16","Travelling","547.139","583.8056","36.6667","3498dbff"
"Traveller_001","0","Travelling","582.139","1812.1333","1229.9944","3498dbff"
"Traveller_001","0","Travelling","582.139","602.139","20.0","3498dbff"
"Traveller_005","4","Attraction3","582.139","703.8056","121.6667","f39c12ff"
"Traveller_017","16","Waiting","583.8056","725.4723","141.6667","2ecc71ff"
"Traveller_001","0","Waiting","602.139","847.1333","244.9944","2ecc71ff"
"Traveller_003","2","Travelling","603.8056","1812.1333","1208.3277","3498dbff"
"Traveller_003","2","Travelling","603.8056","627.139","23.3333","3498dbff"
"Traveller_014","13","Attraction2","603.8056","725.4723","121.6667","f39c12ff"
"Traveller_003","2","Waiting","627.139","1563.8","936.661","2ecc71ff"
"Traveller_002","1","Travelling","662.139","1812.1333","1149.9944","3498dbff"
"Traveller_002","1","Travelling","662.139","688.8056","26.6667","3498dbff"
"Traveller_008","7","Attraction","662.139","963.8","301.661","f39c12ff"
"Traveller_002","1","Waiting","688.8056","968.8","279.9944","2ecc71ff"
"Traveller_005","4","Travelling","703.8056","1812.1333","1108.3277","3498dbff"
"Traveller_005","4","Travelling","703.8056","725.4723","21.6667","3498dbff"
"Traveller_007","6","Attraction3","703.8056","825.4694","121.6638","f39c12ff"
"Traveller_005","4","Waiting","725.4723","1088.8","363.3277","2ecc71ff"
"Traveller_014","13","Travelling","725.4723","1812.1333","1086.661","3498dbff"
"Traveller_014","13","Travelling","725.4723","743.8056","18.3333","3498dbff"
"Traveller_017","16","Attraction2","725.4723","847.1333","121.661","f39c12ff"
"Traveller_014","13","Waiting","743.8056","1307.1333","563.3277","2ecc71ff"
"Traveller_007","6","Travelling","825.4694","1812.1333","986.6639","3498dbff"
"Traveller_007","6","Travelling","825.4694","847.1333","21.6639","3498dbff"
"Traveller_010","9","Attraction3","825.4694","947.1333","121.6639","f39c12ff"
"Traveller_007","6","Waiting","847.1333","1208.8","361.6667","2ecc71ff"
"Traveller_017","16","Travelling","847.1333","1812.1333","965.0","3498dbff"
"Traveller_017","16","Travelling","847.1333","870.4667","23.3333","3498dbff"
"Traveller_001","0","Attraction2","847.1333","968.8","121.6667","f39c12ff"
"Traveller_017","16","Waiting","870.4667","1812.1333","941.6667","2ecc71ff"
"Traveller_010","9","Travelling","947.1333","1812.1333","865.0","3498dbff"
"Traveller_010","9","Travelling","947.1333","968.8","21.6667","3498dbff"
"Traveller_011","10","Attraction3","947.1333","1067.1333","120.0","f39c12ff"
"Traveller_008","7","Travelling","963.8","1812.1333","848.3333","3498dbff"
"Traveller_008","7","Travelling","963.8","1003.8","40.0","3498dbff"
"Traveller_012","11","Attraction","963.8","1263.8","300.0","f39c12ff"
"Traveller_010","9","Waiting","968.8","1328.8","360.0","2ecc71ff"
"Traveller_001","0","Travelling","968.8","1812.1333","843.3333","3498dbff"
"Traveller_001","0","Travelling","968.8","987.1333","18.3333","3498dbff"
"Traveller_002","1","Attraction2","968.8","1088.8","120.0","f39c12ff"
"Traveller_001","0","Waiting","987.1333","1427.1333","440.0","2ecc71ff"
"Traveller_018","17","Travelling","1000.4667","1037.1333","36.6667","3498dbff"
"Traveller_008","7","Waiting","1003.8","1547.1333","543.3333","2ecc71ff"
"Traveller_018","17","Waiting","1037.1333","1448.8","411.6667","2ecc71ff"
"Traveller_011","10","Travelling","1067.1333","1812.1333","745.0","3498dbff"
"Traveller_011","10","Travelling","1067.1333","1088.8","21.6667","3498dbff"
"Traveller_015","14","Attraction3","1067.1333","1187.1333","120.0","f39c12ff"
"Traveller_011","10","Waiting","1088.8","1568.8","480.0","2ecc71ff"
"Traveller_002","1","Travelling","1088.8","1812.1333","723.3333","3498dbff"
"Traveller_002","1","Travelling","1088.8","1108.8","20.0","3498dbff"
"Traveller_005","4","Attraction2","1088.8","1208.8","120.0","f39c12ff"
"Traveller_002","1","Waiting","1108.8","1667.1333","558.3333","2ecc71ff"
"Traveller_015","14","Travelling","1187.1333","1812.1333","625.0","3498dbff"
"Traveller_015","14","Travelling","1187.1333","1208.8","21.6667","3498dbff"
"Traveller_016","15","Attraction3","1187.1333","1307.1333","120.0","f39c12ff"
"Traveller_015","14","Waiting","1208.8","1688.8","480.0","2ecc71ff"
"Traveller_005","4","Travelling","1208.8","1812.1333","603.3333","3498dbff"
"Traveller_005","4","Travelling","1208.8","1232.1333","23.3333","3498dbff"
"Traveller_007","6","Attraction2","1208.8","1328.8","120.0","f39c12ff"
"Traveller_005","4","Waiting","1232.1333","1812.1333","580.0","2ecc71ff"
"Traveller_012","11","Travelling","1263.8","1812.1333","548.3333","3498dbff"
"Traveller_012","11","Travelling","1263.8","1303.8","40.0","3498dbff"
"Traveller_013","12","Attraction","1263.8","1563.8","300.0","f39c12ff"
"Traveller_012","11","Waiting","1303.8","1787.1333","483.3333","2ecc71ff"
"Traveller_016","15","Travelling","1307.1333","1812.1333","505.0","3498dbff"
"Traveller_016","15","Travelling","1307.1333","1328.8","21.6667","3498dbff"
