"row_key","row_index","label","start","end","duration","color_rgba"
"Traveller_001","0","Travelling","135.428","167.0936","31.6656","3498dbff"
"Traveller_002","1","Travelling","187.0936","228.7603","41.6667","3498dbff"
"Traveller_003","2","Travelling","232.0936","242.0936","10.0","3498dbff"
"Traveller_004","3","Travelling","252.0936","262.0936","10.0","3498dbff"
"Traveller_005","4","Travelling","267.0936","288.7603","21.6667","3498dbff"
"Traveller_001","0","Attraction2","167.0936","288.7603","121.6667","f39c12ff"
"Traveller_001","0","Attraction2","167.0936","288.7603","121.6667","f39c12ff"
"Traveller_001","0","Travelling","288.7603","312.0936","23.3333","3498dbff"
"Traveller_006","5","Travelling","277.0936","327.0936","50.0","3498dbff"
"Traveller_001","0","Attraction3","242.0936","362.0936","120.0","f39c12ff"
"Traveller_003","2","Attraction3","242.0936","362.0936","120.0","f39c12ff"
"Traveller_001","0","Waiting","262.0936","362.0936","100.0","2ecc71ff"
"Traveller_004","3","Waiting","262.0936","362.0936","100.0","2ecc71ff"
"Traveller_003","2","Travelling","362.0936","398.7603","36.6667","3498dbff"
"Traveller_001","0","Attraction3","362.0936","482.0936","120.0","f39c12ff"
"Traveller_004","3","Attraction3","362.0936","482.0936","120.0","f39c12ff"
"Traveller_001","0","Waiting","327.0936","482.0936","155.0","2ecc71ff"
"Traveller_006","5","Waiting","327.0936","482.0936","155.0","2ecc71ff"
"Traveller_004","3","Travelling","482.0936","518.7603","36.6667","3498dbff"
"Traveller_001","0","Attraction","228.7603","528.7603","300.0","f39c12ff"
"Traveller_002","1","Attraction","228.7603","528.7603","300.0","f39c12ff"
"Traveller_001","0","Waiting","288.7603","528.7603","240.0","2ecc71ff"
"Traveller_005","4","Waiting","288.7603","528.7603","240.0","2ecc71ff"
"Traveller_002","1","Travelling","528.7603","568.7603","40.0","3498dbff"
"Traveller_001","0","Attraction3","482.0936","603.7603","121.6667","f39c12ff"
"Traveller_006","5","Attraction3","482.0936","603.7603","121.6667","f39c12ff"
"Traveller_001","0","Waiting","568.7603","603.7603","35.0","2ecc71ff"
"Traveller_002","1","Waiting","568.7603","603.7603","35.0","2ecc71ff"
"Traveller_006","5","Travelling","603.7603","623.7603","20.0","3498dbff"
"Traveller_001","0","Attraction3","603.7603","725.4269","121.6667","f39c12ff"
"Traveller_002","1","Attraction3","603.7603","725.4269","121.6667","f39c12ff"
"Traveller_002","1","Travelling","725.4269","743.7603","18.3333","3498dbff"
"Traveller_001","0","Attraction2","623.7603","745.4269","121.6667","f39c12ff"
"Traveller_006","5","Attraction2","623.7603","745.4269","121.6667","f39c12ff"
"Traveller_001","0","Waiting","743.7603","745.4269","1.6667","2ecc71ff"
"Traveller_002","1","Waiting","743.7603","745.4269","1.6667","2ecc71ff"
"Traveller_006","5","Travelling","745.4269","763.7603","18.3333","3498dbff"
"Traveller_001","0","Attraction","528.7603","830.4269","301.6667","f39c12ff"
"Traveller_005","4","Attraction","528.7603","830.4269","301.6667","f39c12ff"
"Traveller_001","0","Waiting","312.0936","830.4269","518.3333","2ecc71ff"
"Traveller_001","0","Waiting","312.0936","830.4269","518.3333","2ecc71ff"
