"row_key","row_index","label","start","end","duration","color_rgba"
"Traveller_002","0","Travelling","214.8677","224.8677","10.0","3498dbff"
"Traveller_001","1","Travelling","176.5103","226.5344","50.0241","3498dbff"
"Traveller_003","2","Travelling","234.8677","276.5344","41.6667","3498dbff"
"Traveller_004","3","Travelling","251.5344","283.2011","31.6667","3498dbff"
"Traveller_006","4","Travelling","278.2011","288.2011","10.0","3498dbff"
"Traveller_005","5","Travelling","263.2011","313.2225","50.0214","3498dbff"
"Traveller_008","6","Travelling","304.8891","314.8891","10.0","3498dbff"
"Traveller_007","7","Travelling","291.5344","332.3333","40.7989","3498dbff"
"Traveller_010","8","Travelling","333.9999","343.9999","10.0","3498dbff"
"Traveller_002","0","Attraction3","224.8677","345.6666","120.7989","f39c12ff"
"Traveller_002","0","Attraction3","224.8677","345.6666","120.7989","f39c12ff"
"Traveller_002","0","Waiting","226.5344","345.6666","119.1322","2ecc71ff"
"Traveller_001","1","Waiting","226.5344","345.6666","119.1322","2ecc71ff"
"Traveller_002","0","Travelling","345.6666","367.3333","21.6667","3498dbff"
"Traveller_011","9","Travelling","345.6666","367.3333","21.6667","3498dbff"
"Traveller_009","10","Travelling","319.908","380.6666","60.7586","3498dbff"
"Traveller_013","11","Travelling","372.3333","382.3333","10.0","3498dbff"
"Traveller_002","0","Attraction2","283.2011","404.1007","120.8996","f39c12ff"
"Traveller_004","3","Attraction2","283.2011","404.1007","120.8996","f39c12ff"
"Traveller_002","0","Waiting","367.3333","404.1007","36.7674","2ecc71ff"
"Traveller_002","0","Waiting","367.3333","404.1007","36.7674","2ecc71ff"
"Traveller_012","12","Travelling","360.6666","410.7673","50.1007","3498dbff"
"Traveller_004","3","Travelling","404.1007","427.434","23.3333","3498dbff"
"Traveller_015","13","Travelling","400.7673","432.434","31.6667","3498dbff"
"Traveller_014","14","Travelling","385.6666","447.434","61.7674","3498dbff"
"Traveller_018","15","Travelling","440.7673","450.7673","10.0","3498dbff"
"Traveller_002","0","Attraction3","345.6666","465.7673","120.1007","f39c12ff"
"Traveller_001","1","Attraction3","345.6666","465.7673","120.1007","f39c12ff"
"Traveller_002","0","Waiting","288.2011","465.7673","177.5663","2ecc71ff"
"Traveller_006","4","Waiting","288.2011","465.7673","177.5663","2ecc71ff"
"Traveller_016","16","Travelling","414.1007","475.7673","61.6667","3498dbff"
"Traveller_017","17","Travelling","427.434","477.434","50.0","3498dbff"
"Traveller_019","18","Travelling","454.1007","495.7673","41.6667","3498dbff"
"Traveller_001","1","Travelling","465.7673","500.7673","35.0","3498dbff"
"Traveller_002","0","Attraction2","404.1007","524.1715","120.0708","f39c12ff"
"Traveller_002","0","Attraction2","404.1007","524.1715","120.0708","f39c12ff"
"Traveller_002","0","Waiting","380.6666","524.1715","143.5049","2ecc71ff"
"Traveller_009","10","Waiting","380.6666","524.1715","143.5049","2ecc71ff"
"Traveller_020","19","Travelling","465.7673","527.5048","61.7375","3498dbff"
"Traveller_002","0","Travelling","524.1715","547.5048","23.3333","3498dbff"
"Traveller_002","0","Attraction","276.5344","577.5048","300.9704","f39c12ff"
"Traveller_003","2","Attraction","276.5344","577.5048","300.9704","f39c12ff"
"Traveller_002","0","Waiting","332.3333","577.5048","245.1716","2ecc71ff"
"Traveller_007","7","Waiting","332.3333","577.5048","245.1716","2ecc71ff"
"Traveller_002","0","Attraction3","465.7673","585.8382","120.0708","f39c12ff"
"Traveller_006","4","Attraction3","465.7673","585.8382","120.0708","f39c12ff"
"Traveller_002","0","Waiting","313.2225","585.8382","272.6157","2ecc71ff"
"Traveller_005","5","Waiting","313.2225","585.8382","272.6157","2ecc71ff"
"Traveller_003","2","Travelling","577.5048","617.5048","40.0","3498dbff"
"Traveller_006","4","Travelling","585.8382","622.5048","36.6667","3498dbff"
"Traveller_002","0","Attraction2","524.1715","644.1904","120.0189","f39c12ff"
"Traveller_009","10","Attraction2","524.1715","644.1904","120.0189","f39c12ff"
"Traveller_002","0","Waiting","432.434","644.1904","211.7564","2ecc71ff"
"Traveller_015","13","Waiting","432.434","644.1904","211.7564","2ecc71ff"
"Traveller_009","10","Travelling","644.1904","664.1904","20.0","3498dbff"
"Traveller_002","0","Attraction3","585.8382","705.8571","120.0189","f39c12ff"
"Traveller_005","5","Attraction3","585.8382","705.8571","120.0189","f39c12ff"
"Traveller_002","0","Waiting","314.8891","705.8571","390.9679","2ecc71ff"
"Traveller_008","6","Waiting","314.8891","705.8571","390.9679","2ecc71ff"
"Traveller_005","5","Travelling","705.8571","740.8571","35.0","3498dbff"
"Traveller_002","0","Attraction2","644.1904","765.8571","121.6667","f39c12ff"
"Traveller_015","13","Attraction2","644.1904","765.8571","121.6667","f39c12ff"
"Traveller_002","0","Waiting","447.434","765.8571","318.4231","2ecc71ff"
"Traveller_014","14","Waiting","447.434","765.8571","318.4231","2ecc71ff"
"Traveller_015","13","Travelling","765.8571","789.1904","23.3333","3498dbff"
"Traveller_002","0","Attraction3","705.8571","827.5237","121.6667","f39c12ff"
"Traveller_008","6","Attraction3","705.8571","827.5237","121.6667","f39c12ff"
"Traveller_002","0","Waiting","343.9999","827.5237","483.5238","2ecc71ff"
"Traveller_010","8","Waiting","343.9999","827.5237","483.5238","2ecc71ff"
"Traveller_008","6","Travelling","827.5237","849.1904","21.6667","3498dbff"
"Traveller_002","0","Attraction","577.5048","877.5237","300.0189","f39c12ff"
"Traveller_007","7","Attraction","577.5048","877.5237","300.0189","f39c12ff"
"Traveller_002","0","Waiting","367.3333","877.5237","510.1905","2ecc71ff"
"Traveller_011","9","Waiting","367.3333","877.5237","510.1905","2ecc71ff"
"Traveller_002","0","Attraction2","765.8571","887.5237","121.6667","f39c12ff"
"Traveller_014","14","Attraction2","765.8571","887.5237","121.6667","f39c12ff"
"Traveller_002","0","Waiting","475.7673","887.5237","411.7564","2ecc71ff"
"Traveller_016","16","Waiting","475.7673","887.5237","411.7564","2ecc71ff"
"Traveller_014","14","Travelling","887.5237","907.5237","20.0","3498dbff"
"Traveller_007","7","Travelling","877.5237","917.5237","40.0","3498dbff"
"Traveller_002","0","Attraction3","827.5237","949.1904","121.6667","f39c12ff"
"Traveller_010","8","Attraction3","827.5237","949.1904","121.6667","f39c12ff"
"Traveller_002","0","Waiting","382.3333","949.1904","566.8571","2ecc71ff"
"Traveller_013","11","Waiting","382.3333","949.1904","566.8571","2ecc71ff"
"Traveller_010","8","Travelling","949.1904","985.8571","36.6667","3498dbff"
"Traveller_002","0","Attraction2","887.5237","1009.1904","121.6667","f39c12ff"
"Traveller_016","16","Attraction2","887.5237","1009.1904","121.6667","f39c12ff"
"Traveller_002","0","Waiting","527.5048","1009.1904","481.6856","2ecc71ff"
"Traveller_020","19","Waiting","527.5048","1009.1904","481.6856","2ecc71ff"
"Traveller_016","16","Travelling","1009.1904","1029.1904","20.0","3498dbff"
"Traveller_002","0","Attraction3","949.1904","1069.1904","120.0","f39c12ff"
"Traveller_013","11","Attraction3","949.1904","1069.1904","120.0","f39c12ff"
"Traveller_002","0","Waiting","410.7673","1069.1904","658.4231","2ecc71ff"
"Traveller_012","12","Waiting","410.7673","1069.1904","658.4231","2ecc71ff"
"Traveller_013","11","Travelling","1069.1904","1090.8571","21.6667","3498dbff"
"Traveller_002","0","Attraction2","1009.1904","1129.1904","120.0","f39c12ff"
"Traveller_020","19","Attraction2","1009.1904","1129.1904","120.0","f39c12ff"
"Traveller_002","0","Waiting","849.1904","1129.1904","280.0","2ecc71ff"
"Traveller_008","6","Waiting","849.1904","1129.1904","280.0","2ecc71ff"
"Traveller_020","19","Travelling","1129.1904","1149.1904","20.0","3498dbff"
"Traveller_002","0","Attraction","877.5237","1177.5237","300.0","f39c12ff"
"Traveller_011","9","Attraction","877.5237","1177.5237","300.0","f39c12ff"
"Traveller_002","0","Waiting","427.434","1177.5237","750.0897","2ecc71ff"
"Traveller_004","3","Waiting","427.434","1177.5237","750.0897","2ecc71ff"
"Traveller_002","0","Attraction3","1069.1904","1189.1904","120.0","f39c12ff"
"Traveller_012","12","Attraction3","1069.1904","1189.1904","120.0","f39c12ff"
"Traveller_002","0","Waiting","450.7673","1189.1904","738.4231","2ecc71ff"
"Traveller_018","15","Waiting","450.7673","1189.1904","738.4231","2ecc71ff"
